2016-08-26 08:57:19 [http-nio-8080-exec-1] DEBUG Controller[hello:44] Controller- SHOW:debug
2016-08-26 08:57:19 [http-nio-8080-exec-1] INFO  Controller[hello:45] Controller- SHOW:info
2016-08-26 08:57:19 [http-nio-8080-exec-1] WARN  Controller[hello:46] Controller- SHOW:warn
2016-08-26 08:57:19 [http-nio-8080-exec-1] ERROR Controller[hello:47] Controller- SHOW:error
2016-08-26 08:59:16 | [http-nio-8080-exec-1] DEBUG | com.ex2.user.UserController | Controller[hello:44] | 127.0.0.1 | 3 | - SHOW:debug
2016-08-26 08:59:16 | [http-nio-8080-exec-1] INFO  | com.ex2.user.UserController | Controller[hello:45] | 127.0.0.1 | 3 | - SHOW:info
2016-08-26 08:59:16 | [http-nio-8080-exec-1] WARN  | com.ex2.user.UserController | Controller[hello:46] | 127.0.0.1 | 3 | - SHOW:warn
2016-08-26 08:59:16 | [http-nio-8080-exec-1] ERROR | com.ex2.user.UserController | Controller[hello:47] | 127.0.0.1 | 3 | - SHOW:error
2016-08-26 09:00:39 | [default] DEBUG | com.ex2.user.UserController | Controller[hello:44] | 127.0.0.1 | 3 | - SHOW:debug
2016-08-26 09:00:39 | [default] INFO  | com.ex2.user.UserController | Controller[hello:45] | 127.0.0.1 | 3 | - SHOW:info
2016-08-26 09:00:39 | [default] WARN  | com.ex2.user.UserController | Controller[hello:46] | 127.0.0.1 | 3 | - SHOW:warn
2016-08-26 09:00:39 | [default] ERROR | com.ex2.user.UserController | Controller[hello:47] | 127.0.0.1 | 3 | - SHOW:error
2016-08-26 09:05:13 | [UserController.java] DEBUG | com.ex2.user.UserController | Controller[hello:44] | 127.0.0.1 | 3 | - SHOW:debug
2016-08-26 09:05:13 | [UserController.java] INFO  | com.ex2.user.UserController | Controller[hello:45] | 127.0.0.1 | 3 | - SHOW:info
2016-08-26 09:05:13 | [UserController.java] WARN  | com.ex2.user.UserController | Controller[hello:46] | 127.0.0.1 | 3 | - SHOW:warn
2016-08-26 09:05:13 | [UserController.java] ERROR | com.ex2.user.UserController | Controller[hello:47] | 127.0.0.1 | 3 | - SHOW:error
2016-08-26 09:10:11 | [] |[UserController.java] DEBUG | com.ex2.user.UserController | Controller[hello:44] | 127.0.0.1 | 3 | - SHOW:debug
2016-08-26 09:10:11 | [] |[UserController.java] INFO  | com.ex2.user.UserController | Controller[hello:45] | 127.0.0.1 | 3 | - SHOW:info
2016-08-26 09:10:11 | [] |[UserController.java] WARN  | com.ex2.user.UserController | Controller[hello:46] | 127.0.0.1 | 3 | - SHOW:warn
2016-08-26 09:10:11 | [] |[UserController.java] ERROR | com.ex2.user.UserController | Controller[hello:47] | 127.0.0.1 | 3 | - SHOW:error
2016-08-26 09:15:04 | [] |[UserController.java] DEBUG | [39mcom.ex2.user.UserController[0;39m | Controller[hello:44] | 127.0.0.1 | 3 | - SHOW:debug
2016-08-26 09:15:04 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[hello:45] | 127.0.0.1 | 3 | - SHOW:info
2016-08-26 09:15:04 | [] |[UserController.java] WARN  | [31mcom.ex2.user.UserController[0;39m | Controller[hello:46] | 127.0.0.1 | 3 | - SHOW:warn
2016-08-26 09:15:04 | [] |[UserController.java] ERROR | [1;31mcom.ex2.user.UserController[0;39m | Controller[hello:47] | 127.0.0.1 | 3 | - SHOW:error
2016-08-26 09:19:17 | [] |[UserController.java] DEBUG | [39mcom.ex2.user.UserController[0;39m | Controller[hello:44] | 127.0.0.1 | 3 | - SHOW:debug
2016-08-26 09:19:17 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[hello:45] | 127.0.0.1 | 3 | - SHOW:info
2016-08-26 09:19:17 | [] |[UserController.java] WARN  | [31mcom.ex2.user.UserController[0;39m | Controller[hello:46] | 127.0.0.1 | 3 | - SHOW:warn
2016-08-26 09:19:17 | [] |[UserController.java] ERROR | [1;31mcom.ex2.user.UserController[0;39m | Controller[hello:47] | 127.0.0.1 | 3 | - SHOW:error
2016-08-26 09:19:21 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] | 127.0.0.1 | 3 | - TEST:ID =3
2016-08-26 09:19:21 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] | 127.0.0.1 | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 09:19:21 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] | 127.0.0.1 | 3 | - TEST:단문에시지 하나를 날렸어요
2016-08-26 09:19:21 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:67] | 127.0.0.1 | 3 | - TEST:참잘했지유
2016-08-26 10:52:42 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] |  | 3 | - TEST:ID =3
2016-08-26 10:52:42 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] |  | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 10:52:42 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] |  | 3 | - TEST:단문에시지 하나를 날렸어요
2016-08-26 10:52:42 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:67] |  | 3 | - TEST:참잘했지유
2016-08-26 11:01:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] |  | 3 | - TEST:ID =3
2016-08-26 11:01:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] |  | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 11:01:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] |  | 3 | - TEST:단문에시지 하나를 날렸어요
2016-08-26 11:01:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:67] |  | 3 | - TEST:참잘했지유
2016-08-26 12:59:48 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] |  | 3 | - TEST:ID =3
2016-08-26 12:59:48 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] |  | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 12:59:48 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] |  | 3 | - TEST:단문에시지 하나를 날렸어요
2016-08-26 12:59:48 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:67] |  | 3 | - TEST:참잘했지유
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] |  | 3 | - TEST:ID =3
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] |  | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] |  | 3 | - TEST:단문에시지 하나를 날렸어요
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:67] |  | 3 | - TEST:참잘했지유
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] |  | 3 | - TEST:ID =3
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] |  | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] |  | 3 | - TEST:단문에시지 하나를 날렸어요
2016-08-26 13:00:30 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:67] |  | 3 | - TEST:참잘했지유
2016-08-26 13:03:41 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:60] |  | 3 | - TEST:ID =3
2016-08-26 13:03:41 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:65] |  | 3 | - TEST:이놈은 거래를 했어요
2016-08-26 13:03:41 | [] |[UserController.java] INFO  | [34mcom.ex2.user.UserController[0;39m | Controller[show:66] |  | 3 | - TEST:단문에시지 하나를 날렸어요
